Time,Level,v_balance,l_profit,in_stepdown,stepdown_level,wins_needed
2026.06.03 16:21,2,26.75,0.00,0,0,0
2026.06.05 04:03,3,36.79,0.00,0,0,0
2026.06.05 15:58,4,49.74,0.00,0,0,0
2026.06.08 00:30,5,68.43,0.00,0,0,0
2026.06.08 03:45,6,87.96,0.00,0,0,0
2026.06.08 04:30,7,110.95,0.00,0,0,0
2026.06.08 14:15,8,146.09,0.00,0,0,0
2026.06.08 17:21,9,196.06,0.00,0,0,0
2026.06.09 09:15,10,247.66,0.00,0,0,0
2026.06.09 19:42,11,317.10,0.00,0,0,0
2026.06.11 20:39,12,422.88,0.00,0,0,0
2026.06.15 00:32,13,530.88,0.00,0,0,0
2026.06.16 07:44,14,706.58,0.00,0,0,0
2026.06.16 13:09,15,888.58,0.00,0,0,0
2026.06.17 22:21,16,1196.56,0.00,0,0,0
2026.06.18 11:48,17,1512.26,0.00,0,0,0
2026.06.18 18:00,18,1988.26,0.00,0,0,0
2026.06.23 03:25,19,2513.46,0.00,0,0,0
2026.06.23 08:25,20,3371.98,0.00,0,0,0
2026.06.23 18:38,21,4522.16,0.00,0,0,0
2026.06.24 13:07,22,5955.37,0.00,0,0,0
