Time,Symbol,SignalType,PivotType,PivotPrice,Status,Reason
2026.06.01 00:15,AUDUSD,BUY,LOW,0.71674,ENTERED,PivotLow_Green
2026.06.02 17:15,AUDUSD,BUY,LOW,0.71698,ENTERED,PivotLow_Green
2026.06.04 10:00,AUDUSD,SELL,HIGH,0.71382,ENTERED,PivotHigh_Red
2026.06.05 04:45,AUDUSD,BUY,LOW,0.71055,ENTERED,PivotLow_Green
2026.06.05 11:00,AUDUSD,SELL,HIGH,0.71355,ENTERED,PivotHigh_Red
2026.06.05 16:15,AUDUSD,BUY,LOW,0.71011,ENTERED,PivotLow_Green
2026.06.08 00:15,AUDUSD,BUY,LOW,0.70201,ENTERED,PivotLow_Green
2026.06.08 04:15,AUDUSD,SELL,HIGH,0.7062,ENTERED,PivotHigh_Red
2026.06.08 04:45,AUDUSD,BUY,LOW,0.7035,ENTERED,PivotLow_Green
2026.06.08 14:45,AUDUSD,SELL,HIGH,0.70783,ENTERED,PivotHigh_Red
2026.06.08 18:15,AUDUSD,SELL,HIGH,0.70624,ENTERED,PivotHigh_Red
2026.06.09 03:30,AUDUSD,BUY,LOW,0.70342,ENTERED,PivotLow_Green
2026.06.09 05:15,AUDUSD,SELL,HIGH,0.70592,ENTERED,PivotHigh_Red
2026.06.09 18:00,AUDUSD,BUY,LOW,0.70323,ENTERED,PivotLow_Green
2026.06.10 19:45,AUDUSD,SELL,HIGH,0.7027,ENTERED,PivotHigh_Red
2026.06.10 22:45,AUDUSD,BUY,LOW,0.7001,ENTERED,PivotLow_Green
2026.06.12 02:45,AUDUSD,BUY,LOW,0.70438,ENTERED,PivotLow_Green
2026.06.15 00:15,AUDUSD,BUY,LOW,0.70354,ENTERED,PivotLow_Green
2026.06.15 01:15,AUDUSD,SELL,HIGH,0.70883,ENTERED,PivotHigh_Red
2026.06.16 05:30,AUDUSD,BUY,LOW,0.70557,ENTERED,PivotLow_Green
2026.06.17 12:15,AUDUSD,SELL,HIGH,0.70633,ENTERED,PivotHigh_Red
2026.06.18 21:15,AUDUSD,BUY,LOW,0.70156,ENTERED,PivotLow_Green
2026.06.22 00:15,AUDUSD,BUY,LOW,0.70024,ENTERED,PivotLow_Green
2026.06.23 11:15,AUDUSD,BUY,LOW,0.69439,ENTERED,PivotLow_Green
2026.06.24 16:45,AUDUSD,SELL,HIGH,0.69007,ENTERED,PivotHigh_Red
2026.06.26 16:30,AUDUSD,BUY,LOW,0.68958,ENTERED,PivotLow_Green
2026.06.29 00:15,AUDUSD,BUY,LOW,0.68846,ENTERED,PivotLow_Green
